S.No.,Zone,Short Form,Full Form
1,CR,BB,MUMBAI
2,CR,BSL,BHUSAVAL
3,CR,NGP,NAGPUR
4,CR,PUNE,PUNE
5,CR,SUR,SOLAPUR
6,DFCR,EDFC,EASTERN DEDICATED FREIGHT CORR
7,DFCR,WDFC,WESTERN DEDICATED FREIGHT CORR
8,EC,DDU,PT. DEEN DAYAL UPADHYAYA
9,EC,DHN,DHANBAD
10,EC,DNR,DANAPUR
11,EC,SEE,SONPUR
12,EC,SPJ,SAMASTIPUR
13,ECO,KUR,KHURDA ROAD
14,ECO,SBP,SAMBALPUR
15,ECO,WAT,WALTAIR
16,ER,ASN,ASANSOL
17,ER,HWH,HOWRAH
18,ER,MLDT,MALDA
19,ER,SDAH,SEALDAH
20,KR,KAWR,KARWAR
21,KR,RN,RATNAGIRI
22,NC,AGRA,AGRA
23,NC,JHS,JHANSI
24,NC,PRYJ,PRAYAGRAJ
25,NE,BSB,VARANASI
26,NE,IZN,IZZAT NAGAR
27,NE,LJN,LUCKNOW
28,NF,APDJ,ALIPUR DUAR JN
29,NF,KIR,KATIHAR
30,NF,LMG,LUMDING
31,NF,RNY,RANGIYA
32,NF,TSK,TINSUKIA
33,NPLR,NEP,NEPAL RAILWAYS
34,NR,DLI,DELHI
35,NR,FZR,FIROZPUR
36,NR,JAT,JAMMU
37,NR,LKO,LUCKNOW
38,NR,MB,MORADABAD
39,NR,UMB,AMBALA
40,NW,AII,AJMER
41,NW,BKN,BIKANER
42,NW,JP,JAIPUR
43,NW,JU,JODHPUR
44,SC,BZA,VIJAYAWADA
45,SC,GNT,GUNTUR
46,SC,GTL,GUNTAKAL
47,SC,HYB,HYDERABAD
48,SC,NED,NANDED
49,SC,SC,SECUNDERABAD
50,SE,ADRA,ADRA
51,SE,CKP,CHAKRADHAR PUR
52,SE,KGP,KHARAGPUR
53,SE,RNC,RANCHI
54,SEC,BSP,BILASPUR
55,SEC,NAG,NAGPUR
56,SEC,R,RAIPUR
57,SR,MAS,MADRAS
58,SR,MDU,MADURAI
59,SR,PGT,PALGHAT
60,SR,SA,SALEM
61,SR,TPJ,TIRUCHCHIRAPALLI
62,SR,TVC,TRIVANDRUM CENTRAL
63,SW,MYS,MYSORE
64,SW,SBC,BANGALORE
65,SW,UBL,HUBLI
66,WC,BPL,BHOPAL
67,WC,JBP,JABALPUR
68,WC,KOTA,KOTA
69,WR,ADI,AHMEDABAD
70,WR,BCT,MUMBAI CENTRAL
71,WR,BRC,VADODARA
72,WR,BVC,BHAVNAGAR
73,WR,RJT,RAJKOT
74,WR,RTM,RATLAM
